1486731018.000000340,1486731018.000000766,44,right,?,1
1486731024.000000930,1486731025.000000355,0,left,?,2
1486731036.000000262,1486731036.000000340,0,left,?,3
1486731036.000000493,1486731036.000000571,0,?,?,4
1486731040.000000887,1486731041.000000311,44,right,?,5
1486731047.000000593,1486731047.000000785,44,left,?,6
1486731052.000000103,1486731052.000000526,44,right,?,7
1486731058.000000578,1486731058.000000782,0,left,?,8
1486731062.000000971,1486731063.000000280,44,right,?,9
1486731069.000000561,1486731069.000000639,0,left,?,10
1486731074.000000072,1486731074.000000496,44,right,?,11
1486731085.000000519,1486731085.000000944,44,right,?,12
1486731092.000000224,1486731092.000000417,0,left,?,13
1486731092.000000572,1486731092.000000650,0,?,?,14
1486731096.000000850,1486731097.000000157,45,right,?,15
1486731103.000000788,1486731103.000000865,0,?,?,16
1486731108.000000643,1486731108.000000991,44,right,?,17
1486731119.000000975,1486731120.000000167,41,?,?,18
1486731126.000000682,1486731126.000000759,0,?,?,19
