1486731018.000000340,1486731018.000000766,41,right,left,1
1486731024.000000930,1486731025.000000355,59,left,right,2
1486731036.000000262,1486731036.000000340,54,?,?,3
1486731036.000000493,1486731036.000000571,15,?,?,4
1486731040.000000887,1486731041.000000311,46,right,left,5
1486731047.000000593,1486731047.000000785,59,left,right,6
1486731052.000000103,1486731052.000000526,49,right,left,7
1486731058.000000578,1486731058.000000782,59,left,right,8
1486731062.000000971,1486731063.000000280,26,?,?,9
1486731069.000000561,1486731069.000000639,59,?,?,10
1486731074.000000072,1486731074.000000496,36,right,left,11
1486731085.000000519,1486731085.000000944,36,right,left,12
1486731092.000000224,1486731092.000000417,59,left,right,13
1486731092.000000572,1486731092.000000650,10,?,?,14
1486731096.000000850,1486731097.000000157,27,?,?,15
1486731103.000000788,1486731103.000000865,47,?,?,16
1486731108.000000643,1486731108.000000991,46,right,left,17
1486731119.000000975,1486731120.000000167,33,right,left,18
1486731126.000000682,1486731126.000000759,48,?,?,19
